BEAT,AVG_CALLS,HIGH_RISK_RATIO,SHIFT,SCENARIO,SCENARIO_DEMAND,UNITS,IS_HOTSPOT,SHIFT_HOURS,CAPACITY,COVERAGE,SHORTFALL
611,6.093939393939394,0.7463948284435604,Night,status_quo,6.093939393939394,1,0,8.0,24.0,6.093939393939394,0.0
612,1.2993197278911566,0.8900523560209425,Night,status_quo,1.2993197278911566,0,0,8.0,0.0,0.0,1.2993197278911566
613,2.5104895104895104,0.7437325905292479,Night,status_quo,2.5104895104895104,1,0,8.0,24.0,2.5104895104895104,0.0
614,4.903030303030303,0.6118665018541409,Night,status_quo,4.903030303030303,1,0,8.0,24.0,4.903030303030303,0.0
615,1.5935828877005347,0.7718120805369127,Night,status_quo,1.5935828877005347,0,0,8.0,0.0,0.0,1.5935828877005347
616,1.206896551724138,0.8428571428571429,Night,status_quo,1.206896551724138,0,0,8.0,0.0,0.0,1.206896551724138
617,1.1956521739130437,0.5818181818181818,Night,status_quo,1.1956521739130437,0,0,8.0,0.0,0.0,1.1956521739130437
618,1.1868131868131868,0.7407407407407407,Night,status_quo,1.1868131868131868,0,0,8.0,0.0,0.0,1.1868131868131868
621,2.8762541806020065,0.7116279069767442,Night,status_quo,2.8762541806020065,1,0,8.0,24.0,2.8762541806020065,0.0
622,2.889610389610389,0.4146067415730337,Night,status_quo,2.889610389610389,1,0,8.0,24.0,2.889610389610389,0.0
623,3.5764331210191083,0.7061442564559216,Night,status_quo,3.5764331210191083,1,0,8.0,24.0,3.5764331210191083,0.0
624,2.376865671641791,0.7111459968602826,Night,status_quo,2.376865671641791,0,0,8.0,0.0,0.0,2.376865671641791
625,2.3252032520325203,0.7604895104895105,Night,status_quo,2.3252032520325203,0,0,8.0,0.0,0.0,2.3252032520325203
626,1.7866666666666666,0.6716417910447762,Night,status_quo,1.7866666666666666,0,0,8.0,0.0,0.0,1.7866666666666666
627,5.830357142857143,0.7958141909137315,Night,status_quo,5.830357142857143,1,0,8.0,24.0,5.830357142857143,0.0
628,1.7081081081081082,0.8006329113924051,Night,status_quo,1.7081081081081082,0,0,8.0,0.0,0.0,1.7081081081081082
711,1.0,0.8888888888888888,Night,status_quo,1.0,0,0,8.0,0.0,0.0,1.0
712,4.76595744680851,0.7340561224489796,Night,status_quo,4.76595744680851,1,0,8.0,24.0,4.76595744680851,0.0
713,3.2427184466019416,0.5798403193612774,Night,status_quo,3.2427184466019416,1,0,8.0,24.0,3.2427184466019416,0.0
714,1.6859903381642511,0.8538681948424068,Night,status_quo,1.6859903381642511,0,0,8.0,0.0,0.0,1.6859903381642511
721,2.08984375,0.7420560747663552,Night,status_quo,2.08984375,0,0,8.0,0.0,0.0,2.08984375
722,2.282142857142857,0.7683881064162754,Night,status_quo,2.282142857142857,0,0,8.0,0.0,0.0,2.282142857142857
723,3.6564417177914113,0.6409395973154363,Night,status_quo,3.6564417177914113,1,0,8.0,24.0,3.6564417177914113,0.0
724,2.1333333333333333,0.7458333333333333,Night,status_quo,2.1333333333333333,0,0,8.0,0.0,0.0,2.1333333333333333
725,1.995798319327731,0.6421052631578947,Night,status_quo,1.995798319327731,0,0,8.0,0.0,0.0,1.995798319327731
811,1.9666666666666663,0.7478813559322034,Night,status_quo,1.9666666666666663,0,0,8.0,0.0,0.0,1.9666666666666663
